Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,4559.400000,4559.400000,4559.400000,4559.400000,4559.400000,4559.400000,4559.400000,4559.400000,5209.493369,5209.493369,5554.441755,7554.487500,9256.612500,9256.612500,
HPHIGH,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2057.562431,-2057.562431,-1934.110926,-1218.326574,-609.163287,-609.163287,
HPLOW,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,-2326.525785,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,6072.768750,4559.400000,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,5209.493369,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,
HPHIGH,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2057.562431,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,
HPLOW,-1874.623232,-2326.525785,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-2326.525785,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,5209.493369,5209.493369,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,
HPHIGH,-2057.562431,-2057.562431,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,
HPLOW,-2326.525785,-2326.525785,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,5209.493369,5209.493369,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,
HPHIGH,-2057.562431,-2057.562431,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,
HPLOW,-2326.525785,-2326.525785,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,5209.493369,5209.493369,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,6072.768750,
HPHIGH,-2057.562431,-2057.562431,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,-2290.220440,
HPLOW,-2326.525785,-2326.525785,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,-1874.623232,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,19000.000000,19000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,19000.000000,19000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,19000.000000,19000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,18750.000000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,19000.000000,19000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
